"ID","together","age","years","divorced"
771,"no",32,9,FALSE
772,"yes",23,15,FALSE
773,"yes",24,10,FALSE
774,"yes",19,3,TRUE
775,"no",12,24,FALSE
776,"yes",38,4,FALSE
777,"yes",20,15,FALSE
778,"yes",19,4,TRUE
779,"yes",24,1,TRUE
780,"yes",17,3,TRUE
781,"no",18,13,TRUE
782,"no",18,5,TRUE
783,"yes",18,24,TRUE
784,"no",18,6,TRUE
785,"yes",20,2,FALSE
786,"yes",20,1,TRUE
787,"no",24,3,TRUE
788,"yes",25,7,TRUE
789,"no",26,8,TRUE
790,"yes",17,7,TRUE
791,"no",40,4,FALSE
792,"yes",26,6,FALSE
793,"yes",18,19,FALSE
794,"yes",19,3,TRUE
795,"yes",24,4,TRUE
796,"yes",19,4,TRUE
797,"no",18,5,TRUE
798,"yes",21,11,TRUE
799,"yes",19,20,FALSE
800,"no",18,1,TRUE
801,"yes",22,3,FALSE
802,"yes",25,5,FALSE
803,"yes",32,7,FALSE
804,"yes",31,11,FALSE
805,"yes",21,6,FALSE
806,"no",22,13,TRUE
807,"no",26,14,TRUE
808,"no",28,2,TRUE
809,"no",19,1,TRUE
810,"no",15,22,FALSE
811,"yes",23,4,TRUE
812,"no",18,3,TRUE
813,"yes",25,17,FALSE
814,"yes",23,14,FALSE
815,"yes",16,6,TRUE
816,"yes",23,11,FALSE
817,"yes",22,3,TRUE
818,"no",19,4,TRUE
819,"yes",21,4,TRUE
820,"yes",22,7,TRUE
821,"yes",24,4,FALSE
822,"no",25,19,FALSE
823,"no",19,19,TRUE
824,"no",22,10,FALSE
825,"no",18,10,TRUE
826,"yes",24,11,FALSE
827,"yes",42,2,FALSE
828,"yes",27,7,TRUE
829,"no",22,8,FALSE
830,"yes",24,18,FALSE
831,"yes",34,2,TRUE
832,"no",18,7,TRUE
833,"yes",19,14,FALSE
834,"yes",26,1,TRUE
835,"no",18,6,TRUE
836,"yes",24,14,FALSE
837,"yes",26,3,FALSE
838,"no",31,5,FALSE
839,"no",19,2,TRUE
840,"yes",14,1,TRUE
841,"no",23,5,TRUE
842,"yes",16,12,FALSE
843,"no",19,26,FALSE
844,"yes",33,9,FALSE
845,"no",18,10,TRUE
846,"yes",19,4,FALSE
847,"yes",20,9,TRUE
848,"yes",23,13,FALSE
849,"yes",26,3,FALSE
850,"no",20,1,TRUE
851,"yes",31,7,FALSE
852,"yes",21,4,FALSE
853,"yes",23,9,FALSE
854,"yes",27,10,TRUE
855,"yes",21,2,TRUE
856,"yes",28,13,FALSE
857,"yes",24,17,FALSE
858,"yes",27,8,FALSE
859,"yes",29,3,TRUE
860,"yes",31,3,FALSE
861,"yes",24,2,FALSE
862,"no",22,11,FALSE
863,"no",28,1,TRUE
864,"no",15,13,TRUE
865,"yes",28,4,FALSE
866,"no",24,7,TRUE
867,"yes",30,3,FALSE
868,"no",23,8,TRUE
869,"yes",30,4,FALSE
870,"yes",20,10,FALSE
871,"yes",26,6,TRUE
872,"yes",17,8,TRUE
874,"yes",32,6,TRUE
875,"yes",20,9,TRUE
876,"yes",30,5,TRUE
877,"no",25,7,TRUE
878,"yes",23,3,FALSE
879,"yes",28,7,FALSE
880,"no",18,10,TRUE
881,"yes",22,4,TRUE
882,"yes",27,9,FALSE
883,"yes",20,7,TRUE
884,"yes",24,5,FALSE
885,"no",39,3,FALSE
886,"yes",24,4,TRUE
888,"yes",19,3,FALSE
889,"yes",27,11,FALSE
890,"yes",22,6,FALSE
891,"yes",21,6,TRUE
892,"no",17,2,TRUE
893,"no",25,4,FALSE
894,"yes",16,15,TRUE
895,"yes",29,2,FALSE
896,"yes",22,4,TRUE
897,"yes",22,12,FALSE
898,"yes",24,5,FALSE
899,"no",19,7,TRUE
900,"yes",36,8,FALSE
901,"yes",24,9,FALSE
902,"yes",24,4,TRUE
903,"yes",21,23,FALSE
904,"yes",19,3,TRUE
905,"yes",31,12,FALSE
906,"no",20,6,TRUE
907,"yes",31,12,FALSE
908,"yes",20,11,TRUE
909,"yes",22,3,TRUE
910,"yes",26,2,FALSE
911,"yes",21,11,FALSE
912,"yes",24,1,TRUE
913,"no",19,5,TRUE
914,"yes",29,15,FALSE
915,"yes",34,5,FALSE
916,"no",28,17,FALSE
917,"no",18,11,FALSE
918,"yes",23,10,FALSE
919,"no",22,16,FALSE
920,"no",19,2,TRUE
921,"no",28,5,FALSE
922,"yes",23,18,FALSE
923,"yes",25,20,FALSE
924,"yes",26,18,FALSE
925,"yes",18,1,TRUE
926,"no",14,7,TRUE
927,"yes",18,8,TRUE
928,"no",17,1,TRUE
929,"yes",19,5,TRUE
930,"yes",20,1,FALSE
931,"yes",22,2,TRUE
932,"yes",24,7,TRUE
933,"no",23,2,FALSE
934,"yes",20,16,TRUE
935,"yes",23,5,TRUE
936,"no",27,18,FALSE
937,"no",19,10,TRUE
938,"no",18,5,TRUE
939,"yes",18,6,TRUE
940,"no",19,4,TRUE
941,"yes",25,11,TRUE
942,"yes",16,15,FALSE
943,"no",22,11,FALSE
944,"no",25,5,TRUE
945,"yes",22,9,TRUE
946,"yes",18,7,TRUE
947,"yes",29,10,TRUE
948,"yes",30,4,TRUE
949,"no",22,2,TRUE
950,"yes",20,4,TRUE
951,"no",22,4,TRUE
952,"yes",24,14,FALSE
953,"yes",28,5,FALSE
954,"yes",34,1,FALSE
955,"yes",25,6,FALSE
